gene,D3,K2
EMC2,1099,854
EMC3,995,1773
EMC3-AS1,289,40
EMC4,1092,1224
EMC6,12,1
EMC7,1815,1614
EMC8,728,772
EMC9,249,504
EMCN,0,0
EMD,1632,2142
EME1,276,261
EME2,7,1
EMG1,1209,527
EMID1,2,1
EMILIN1,6,1
EMILIN2,3,1
EMILIN3,1,0
EML1,214,104
EML2,609,764
EML2-AS1,13,24
EML3,1008,517
EML4,1890,806
EML5,136,24
EML6,182,93
EMP1,1815,1500
EMP2,129,122
EMP3,1342,2649
EMX1,0,0
EMX2,351,262
EMX2OS,3,6
EN1,94,27
EN2,288,37
ENAH,6952,3094
ENAM,1,1
ENC1,782,340
ENDOD1,264,157
ENDOG,16,5
ENDOU,1,0
ENDOV,148,95
ENG,1786,1070
ENGASE,807,511
ENHO,0,0
ENKD1,118,97
ENKUR,23,11
ENO1,27686,53287
ENO1-AS1,0,0
ENO2,608,1038
ENO3,54,112
ENO4,19,1
ENOPH1,2531,1654
ENOSF1,408,265
ENOX1,193,72
ENOX1-AS2,0,0
ENOX2,541,155
ENPEP,4,1
ENPP1,167,67
ENPP2,4590,6833
ENPP3,1,0
ENPP4,338,138
ENPP5,2,0
ENPP6,0,0
ENPP7,0,0
ENPP7P13,0,0
ENSA,2660,1339
ENTHD1,2,2
ENTHD2,230,228
ENTPD1,682,115
ENTPD1-AS1,11,1
ENTPD2,6,12
ENTPD3,1,0
ENTPD3-AS1,6,10
ENTPD4,1305,772
ENTPD5,192,53
ENTPD6,1304,807
ENTPD7,304,172
ENTPD8,1,2
ENY2,1003,1228
EOGT,663,320
EOMES,9,3
EP300,3425,653
EP300-AS1,19,4
EP400,2717,1210
EP400NL,54,24
EPAS1,5165,4119
EPB41,2293,1189
EPB41L1,720,292
EPB41L2,1865,1725
EPB41L3,1353,1169
EPB41L4A,95,44
EPB41L4A-AS1,1107,2940
EPB41L4A-AS2,0,0
EPB41L4B,1999,477
EPB41L5,785,221
EPB42,0,0
EPC1,492,691
EPC2,947,669
EPCAM,7,2
EPDR1,1,0
EPG5,2247,2104
EPGN,19,8
EPHA1,0,0
EPHA1-AS1,0,2
EPHA10,0,0
EPHA2,2159,1448
EPHA3,124,14
EPHA4,233,82
EPHA5,3,4
EPHA5-AS1,0,1
EPHA6,10,7
EPHA7,110,18
EPHA8,0,1
EPHB1,2,3
EPHB2,122,136
EPHB3,2,2
EPHB4,1685,1310
EPHB6,47,39
EPHX1,1214,1523
EPHX2,150,143
EPHX3,1,0
EPHX4,31,25
EPM2A,56,26
EPM2AIP1,512,63
EPN1,1641,857
EPN2,944,224
EPN2-AS1,1,1
EPN2-IT1,1,0
EPN3,2,1
EPO,0,0
EPOR,105,13
EPPIN,0,0
EPPIN-WFDC6,0,0
EPPK1,3,0
EPRS,10917,6876
EPS15,2341,1264
EPS15L1,1102,1262
EPS8,4119,1587
EPS8L1,85,45
EPS8L2,0,1
EPS8L3,0,1
EPSTI1,2,5
EPT1,1661,584
EPX,3,0
EPYC,0,0
EQTN,0,0
ERAL1,1342,1392
ERAP1,2226,1329
ERAP2,1894,1064
ERAS,1,2
ERBB2,1700,473
ERBB2IP,4261,1005
ERBB3,12,7
ERBB4,18,12
ERC1,2284,804
ERC2,3,2
ERC2-IT1,0,0
ERCC1,1138,1135
ERCC2,848,572
ERCC3,1469,1621
ERCC4,557,82
ERCC5,32,19
ERCC6,572,235
ERCC6-PGBD3,0,0
ERCC6L,260,50
ERCC6L2,651,216
ERCC8,711,400
EREG,1355,3049
ERF,627,510
ERG,222,93
ERGIC1,10797,8430
ERGIC2,944,457
ERGIC3,4069,6239
ERH,2150,802
ERI1,1216,405
ERI2,563,103
ERI3,1304,1308
ERI3-IT1,24,16
ERICH1,369,229
ERICH1-AS1,0,0
ERICH2,235,93
ERICH3,2,0
ERICH3-AS1,0,0
ERICH4,0,0
ERICH5,0,0
ERICH6,1,0
ERICH6-AS1,11,22
ERICH6B,0,0
ERLEC1,1585,644
ERLIN1,4236,2201
ERLIN2,1878,436
ERMAP,167,219
ERMARD,275,239
ERMN,3,2
ERMP1,799,314
ERN1,522,54
ERN2,0,1
ERO1A,1960,1125
ERO1B,424,114
ERP27,0,0
ERP29,2746,4262
ERP44,1692,2207
ERRFI1,3239,1885
ERV3-1,26,27
ERVFRD-1,0,0
ERVH48-1,4,1
ERVK13-1,191,28
ERVMER34-1,919,558
ERVV-1,0,0
ERVV-2,1,0
ESAM,14,16
ESCO1,668,258
ESCO2,575,205
ESD,2961,3593
ESF1,1414,729
ESM1,0,0
ESPL1,894,280
ESPN,0,0
ESPNL,1,0
ESPNP,0,0
ESR1,1,6
ESR2,25,11
ESRG,1,0
ESRP1,78,8
ESRP2,4,1
ESRRA,1512,1412
ESRRB,1,2
ESRRG,0,0
ESX1,0,0
ESYT1,5521,1593
ESYT2,4638,2346
ESYT3,54,20
ETAA1,528,26
ETF1,6770,4838
ETFA,2270,2789
ETFB,215,280
ETFDH,277,178
ETHE1,720,1839
ETNK1,1218,329
ETNK2,86,148
ETNPPL,0,0
ETS1,5526,5359
ETS2,2709,1506
ETV1,402,112
ETV2,1,8
ETV3,247,126
ETV3L,0,0
ETV4,787,714
ETV5,2901,813
ETV6,489,367
ETV7,2,5
EVA1A,203,164
EVA1B,32,52
EVA1C,43,75
EVADR,0,0
EVC,561,230
EVC2,0,0
EVI2A,45,62
EVI2B,39,13
EVI5,790,287
EVI5L,343,66
EVL,276,280
EVPL,1,0
EVPLL,0,0
EVX1,0,0
EVX1-AS,0,0
EVX2,0,0
EWSAT1,0,0
EWSR1,3288,1759
EXD1,2,2
EXD2,895,631
EXD3,225,171
EXO1,620,545
EXO5,118,14
EXOC1,1442,804
EXOC2,1854,1102
EXOC3,1576,1836
EXOC3-AS1,100,8
EXOC3L1,7,2
EXOC3L2,0,0
EXOC3L4,0,0
EXOC4,2796,2873
EXOC5,2332,1185
EXOC6,357,242
EXOC6B,331,137
EXOC7,1154,458
EXOC8,723,42
EXOG,356,94
EXOSC1,681,610
EXOSC10,2269,2746
EXOSC2,1097,559
EXOSC3,459,177
EXOSC4,199,143
EXOSC5,2860,2931
EXOSC6,440,67
EXOSC7,654,688
EXOSC8,1106,587
EXOSC9,650,602
EXPH5,275,121
EXT1,751,1035
EXT2,2643,3432
EXTL1,4,1
EXTL2,450,204
EXTL3,1132,226
EXTL3-AS1,0,1
EYA1,8,1
EYA2,192,87
EYA3,462,713
EYA4,40,13
EYS,34,17
EZH1,923,601
EZH2,535,393
EZR,6528,4188
EZR-AS1,0,0
F10,6,0
F10-AS1,0,0
F11,0,0
F11-AS1,0,0
F11R,73,84
F12,52,67
F13A1,0,0
F13B,0,0
F2,3,0
F2R,2762,632
F2RL1,445,72
F2RL2,72,23
F2RL3,31,35
F3,381,122
F5,0,0
F7,0,0
F8,87,99
F8A1,81,27
F8A2,0,0
F8A3,0,0
F9,0,0
FA2H,1,6
FAAH,65,83
FAAH2,26,16
FAAHP1,0,8
FAAP100,606,141
FAAP20,202,166
FAAP24,91,59
FABP1,0,0
FABP12,0,0
FABP2,0,0
FABP3,11,3
FABP4,1,1
FABP5,219,264
FABP5P3,0,0
FABP6,47,78
FABP7,0,0
FABP9,0,0
FADD,499,50
FADS1,4194,3892
FADS2,281,225
FADS3,2525,1558
FADS6,0,0
FAF1,2823,3776
FAF2,3452,1349
FAH,1157,1403
FAHD1,629,196
FAHD2A,163,335
FAHD2B,267,428
FAHD2CP,31,19
FAIM,161,81
FAIM2,0,0
FALEC,2,0
FAM101A,0,0
FAM101B,460,118
FAM102A,740,702
FAM102B,471,216
FAM103A1,124,76
FAM104A,1037,609
FAM104B,286,377
FAM105A,34,12
FAM106A,8,2
FAM106B,0,0
FAM106CP,0,0
FAM107A,2,0
FAM107B,2961,551
FAM109A,163,33
FAM109B,1,0
FAM110A,93,85
FAM110B,17,13
FAM110C,0,0
FAM110D,1,0
FAM111A,1050,267
FAM111B,342,112
FAM114A1,444,563
FAM114A2,858,317
FAM117A,67,42
FAM117B,477,164
FAM118A,552,86
FAM118B,573,272
FAM120A,6046,3115
FAM120AOS,979,282
FAM120B,977,165
FAM120C,72,63
FAM122A,598,53
FAM122B,1398,492
FAM122C,40,6
FAM124A,12,4
FAM124B,0,0
FAM126A,2280,461
FAM126B,549,527
FAM127A,1244,904
FAM127B,1345,597
FAM127C,4,0
FAM129A,2109,395
FAM129B,3285,1547
FAM129C,3,3
FAM131A,522,126
FAM131B,7,0
FAM131C,49,16
FAM132A,4,11
FAM132B,447,94
FAM133A,646,277
FAM133B,10,8
FAM133CP,1,1
FAM133DP,0,0
FAM134A,3520,1115
FAM134B,191,60
FAM134C,824,378
FAM135A,905,110
FAM135B,0,0
FAM136A,1230,881
FAM138A,0,0
FAM138B,0,0
FAM138C,0,0
FAM138D,0,0
FAM138E,0,0
FAM138F,0,0
FAM13A,529,407
FAM13A-AS1,23,2
FAM13B,486,197
FAM13C,0,0
FAM149A,2,4
FAM149B1,283,158
FAM150A,0,0
FAM150B,4,1
FAM151A,0,1
FAM151B,12,13
FAM153A,0,1
FAM153B,0,0
FAM153C,0,1
FAM155A,1,0
FAM155A-IT1,0,0
FAM155B,0,0
FAM156A,2,7
FAM156B,0,0
FAM157A,0,3
FAM157B,0,0
FAM157C,0,0
FAM159A,0,0
FAM159B,1,0
FAM160A1,42,44
FAM160A2,537,337
FAM160B1,220,71
FAM160B2,594,588
FAM161A,334,122
FAM161B,152,174
FAM162A,616,845
FAM162B,0,0
FAM163A,0,0
FAM163B,0,0
FAM166A,1,1
FAM166B,7,6
FAM167A,1194,433
FAM167A-AS1,0,0
FAM167B,15,33
FAM168A,1198,825
FAM168B,8155,1425
FAM169A,349,100
FAM169B,0,0
FAM170A,0,0
FAM170B,0,0
FAM170B-AS1,0,0
FAM171A1,1912,317
FAM171A2,23,3
FAM171B,398,210
FAM172A,878,552
FAM172BP,0,0
FAM173A,24,21
FAM173B,810,99
FAM174A,133,83
FAM174B,6,7
FAM175A,685,743
FAM175B,946,272
FAM177A1,619,304
FAM177B,0,1
FAM178A,1344,440
FAM178B,0,0
FAM179A,17,9
FAM179B,626,432
FAM180A,160,103
FAM180B,0,0
FAM181A,0,0
FAM181A-AS1,0,0
FAM181B,0,0
FAM182A,0,0
FAM182B,8,3
FAM183A,8,9
FAM183B,1,1
FAM183CP,0,0
FAM184A,33,20
FAM184B,30,7
FAM185A,64,19
FAM186A,1,0
FAM186B,17,1
FAM187B,0,0
FAM188A,690,194
FAM188B,4,0
FAM189A1,0,0
FAM189A2,7,5
FAM189B,1085,841
FAM192A,1820,1095
FAM193A,920,514
FAM193B,461,1008
FAM195A,383,721
FAM195B,184,173
FAM196A,1,1
FAM196B,340,85
FAM197Y2,0,0
FAM197Y5,0,0
FAM198A,3,0
FAM198B,35,31
FAM199X,2533,410
FAM19A1,0,0
FAM19A2,230,85
FAM19A3,1,1
FAM19A4,0,0
FAM19A5,1,0
FAM200A,313,68
FAM200B,231,116
FAM201A,0,0
FAM204A,1300,943
FAM205A,0,0
FAM205BP,0,0
FAM205C,0,0
FAM206A,584,336
FAM207A,218,292
FAM208A,2920,486
FAM208B,7638,1760
FAM209A,0,2
FAM209B,0,0
FAM20A,2,2
FAM20B,1987,806
FAM20C,288,35
FAM210A,1139,1014
FAM210B,1229,666
FAM212A,54,24
FAM212B,73,12
FAM212B-AS1,2,0
FAM213A,0,0
FAM213B,577,162
FAM214A,251,121
FAM214B,116,28
FAM215A,0,0
FAM216A,554,271
FAM216B,0,0
FAM217A,1,0
FAM217B,358,62
FAM218A,9,1
FAM219A,637,300
FAM219B,1696,452
FAM21A,157,961
FAM21C,339,780
FAM21EP,3,2
FAM220A,2258,982
FAM221A,0,3
FAM221B,0,0
FAM222A,15,3
FAM222A-AS1,64,32
FAM222B,470,40
FAM223A,0,0
FAM223B,0,0
FAM224A,0,0
FAM224B,0,0
FAM225A,17,1
FAM225B,5,0
FAM226A,0,0
FAM226B,0,0
FAM227A,73,4
FAM227B,34,18
FAM228A,6,1
FAM228B,62,34
FAM229A,1,0
FAM229B,196,203
FAM230B,0,0
FAM230C,36,15
FAM231A,0,0
FAM231B,0,0
FAM231C,0,0
FAM231D,0,0
FAM24A,0,0
FAM24B,226,159
FAM24B-CUZD1,1,0
FAM25A,0,0
FAM25BP,0,0
FAM25C,0,0
FAM25G,0,0
FAM26D,0,1
FAM26E,254,12
FAM26F,5,9
FAM27B,0,0
FAM27C,0,0
FAM27E2,1,0
FAM27E3,7,4
FAM27L,0,0
FAM32A,1242,792
FAM35A,1225,822
FAM35BP,3,2
FAM35DP,8,1
FAM3A,356,375
FAM3B,0,2
FAM3C,688,469
FAM3D,0,0
FAM41AY1,0,0
FAM41AY2,0,0
FAM41C,1,0
FAM43A,101,25
FAM43B,0,0
FAM45A,12,1
FAM45B,98,48
FAM46A,153,261
FAM46B,128,131
FAM46C,21,81
FAM46D,4,0
FAM47A,0,0
FAM47B,0,0
FAM47C,0,0
FAM47E,4,0
FAM47E-STBD1,0,0
FAM49A,51,23
FAM49B,870,836
FAM50A,2201,3641
FAM50B,10,3
FAM53A,77,8
FAM53B,1999,223
FAM53B-AS1,0,0
FAM53C,1411,387
FAM57A,668,263
FAM57B,8,2
FAM58A,338,470
FAM60A,2592,2811
FAM63A,205,136
FAM63B,254,78
FAM64A,468,323
FAM65A,2126,959
FAM65B,2472,2942
FAM65C,0,4
FAM66A,0,0
FAM66B,1,1
FAM66C,17,2
FAM66D,7,2
FAM66E,0,1
FAM69A,609,522
FAM69B,53,67
FAM69C,0,0
FAM71A,1,0
FAM71B,0,0
FAM71C,0,1
FAM71D,0,0
FAM71E1,1,2
FAM71E2,0,0
FAM71F1,0,0
FAM71F2,11,17
FAM72A,0,0
FAM72B,179,124
FAM72C,0,0
FAM72D,0,0
FAM73A,1182,170
FAM73B,394,299
FAM74A1,0,0
FAM74A3,0,0
FAM74A4,0,0
FAM74A6,0,0
FAM74A7,0,0
FAM76A,377,126
FAM76B,771,367
FAM78A,38,0
FAM78B,35,19
FAM81A,25,15
FAM81B,0,0
FAM83A,0,0
FAM83A-AS1,0,0
FAM83B,284,41
FAM83C,0,0
FAM83C-AS1,0,0
FAM83D,592,234
FAM83E,0,0
FAM83F,0,0
FAM83G,289,109
FAM83H,208,22
FAM83H-AS1,25,1
FAM84A,80,15
FAM84B,97,28
FAM86B1,65,18
FAM86B2,17,8
FAM86B3P,37,10
FAM86C1,322,57
FAM86C2P,134,34
FAM86DP,157,55
FAM86EP,186,36
FAM86FP,10,1
FAM86HP,19,1
FAM86JP,185,19
FAM87A,1,0
FAM87B,5,2
FAM89A,126,28
FAM89B,375,269
FAM8A1,1026,251
FAM90A1,1,0
FAM90A10P,0,0
FAM90A25P,1,0
FAM90A27P,0,0
FAM90A2P,0,0
FAM90A7P,0,0
FAM91A1,1433,362
FAM92A1,902,691
FAM92A1P2,0,0
FAM92B,0,0
FAM95A,0,0
FAM95B1,0,2
FAM95C,0,1
FAM96A,1024,751
FAM96B,1054,1642
FAM98A,1709,1277
FAM98B,1369,572
FAM98C,159,135
FAM99A,0,0
FAM99B,0,0
FAM9A,0,1
FAM9B,1,2
FAM9C,1,0
FAN1,1690,876
FANCA,668,522
FANCB,192,73
FANCC,672,379
FANCD2,1151,591
FANCD2OS,0,0
FANCE,718,833
FANCF,653,96
FANCG,817,1029
FANCI,1618,888
FANCL,301,24
FANCM,362,125
FANK1,22,30
FANK1-AS1,0,0
FAP,0,1
FAR1,3347,348
FAR2,149,82
FAR2P1,18,16
FAR2P2,0,1
FARP1,1,2
FARP2,424,186
FARS2,278,362
FARSA,2081,1454
FARSB,3898,1707
FAS,508,303
FAS-AS1,4,19
FASLG,0,0
FASN,5506,2639
FASTK,595,354
FASTKD1,953,539
FASTKD2,1791,624
FASTKD3,496,287
FASTKD5,655,237
FAT1,4322,1036
FAT2,6,4
FAT3,4,1
FAT4,293,42
FATE1,0,0
FAU,10210,22385
FAXC,210,62
FAXDC2,2,13
FBF1,203,101
FBL,2744,6507
FBLIM1,546,367
FBLL1,2,4
FBLN1,7281,7062
FBLN2,8,8
FBLN5,348,499
FBLN7,0,1
FBN1,208,163
FBN2,0,0
FBN3,0,0
FBP1,0,1
FBP2,7,2
FBRS,955,328
FBRSL1,597,188
FBXL12,285,262
FBXL13,311,88
FBXL14,269,8
FBXL15,99,91
FBXL16,83,22
FBXL17,979,233
FBXL18,718,277
FBXL19,222,35
FBXL19-AS1,107,7
FBXL2,79,11
FBXL20,907,481
FBXL21,0,0
FBXL22,1,0
FBXL3,1164,676
FBXL4,1038,473
FBXL5,981,321
FBXL6,337,254
FBXL7,282,214
FBXL8,20,27
FBXO10,166,119
FBXO11,1814,804
FBXO15,3,2
FBXO16,77,31
FBXO17,1629,717
FBXO18,1919,1611
FBXO2,6,4
FBXO21,1530,529
FBXO22,502,179
FBXO22-AS1,0,0
FBXO24,7,4
FBXO25,941,992
FBXO27,0,0
FBXO28,2319,519
FBXO3,648,116
FBXO3-AS1,2,0
FBXO30,1656,721
FBXO31,749,380
FBXO32,619,2988
FBXO33,801,255
FBXO34,668,164
FBXO36,258,137
FBXO38,844,665
FBXO39,0,0
FBXO4,216,146
FBXO40,0,0
FBXO41,317,49
FBXO42,1109,476
FBXO43,7,1
FBXO44,201,209
FBXO45,2103,485
FBXO46,208,55
FBXO47,0,0
FBXO48,75,12
FBXO5,638,416
FBXO6,111,239
FBXO7,3171,3503
FBXO8,342,386
FBXO9,1933,427
FBXW10,3,5
FBXW11,2017,920
FBXW12,0,0
FBXW2,2606,947
FBXW4,622,499
FBXW4P1,10,5
FBXW5,819,867
FBXW7,266,387
FBXW8,528,496
FBXW9,157,126
FCAMR,0,0
FCAR,350,193
FCER1A,1,0
FCER1G,1,4
FCER2,0,0
FCF1,1492,719
FCGBP,12,11
FCGR1A,0,0
FCGR1B,0,0
FCGR1C,0,0
FCGR2A,7,21
FCGR2B,0,0
FCGR2C,0,0
FCGR3A,0,0
FCGR3B,1,0
FCGRT,15,25
FCHO1,4,5
FCHO2,1114,556
FCHSD1,206,85
FCHSD2,562,273
FCMR,22,23
FCN1,0,0
FCN2,0,0
FCN3,0,0
FCRL1,0,0
FCRL2,0,0
FCRL3,1,0
FCRL4,0,0
FCRL5,0,0
FCRL6,0,0
FCRLA,3,2
FCRLB,12,6
FDCSP,0,0
FDFT1,1464,2713
FDPS,1197,1202
FDPSP2,0,0
FDX1,242,220
FDX1L,302,370
FDXACB1,17,3
FDXR,168,169
FECH,973,390
FEM1A,916,80
FEM1B,2553,2160
FEM1C,673,842
FEN1,752,319
FENDRR,3,3
FER,852,324
FER1L4,32,30
FER1L5,5,1
FER1L6,5,4
FER1L6-AS1,0,0
FER1L6-AS2,0,0
FERD3L,0,0
FERMT1,881,314
FERMT2,2913,2580
FERMT3,4,12
FES,3,4
FETUB,0,0
FEV,1,0
FEZ1,12109,15848
FEZ2,1428,834
FEZF1,0,0
FEZF1-AS1,3,1
FEZF2,0,0
FFAR1,0,0
FFAR2,0,1
FFAR3,0,0
FFAR4,0,0
FGA,0,0
FGB,0,0
FGD1,421,403
FGD2,0,0
FGD3,2,0
FGD4,1447,986
FGD5,0,1
FGD5-AS1,3845,749
FGD5P1,1,0
FGD6,341,261
FGF1,10,4
FGF10,2,0
FGF10-AS1,0,0
FGF11,79,41
FGF12,1,4
FGF12-AS1,0,0
FGF13,42,43
FGF13-AS1,0,0
FGF14,2,0
FGF14-AS1,0,0
FGF14-AS2,0,0
FGF14-IT1,0,0
FGF16,0,0
FGF17,0,2
FGF18,0,45
FGF19,1,0
FGF2,2000,150
FGF20,0,0
FGF21,121,2
FGF22,0,0
FGF23,0,0
FGF3,0,0
FGF4,0,0
FGF5,37,12
FGF6,0,0
FGF7,4,0
FGF8,1,10
FGF9,1,0
FGFBP1,0,0
FGFBP2,0,0
FGFBP3,21,3
FGFR1,3288,1236
FGFR1OP,641,300
FGFR1OP2,1226,664
FGFR2,1,0
FGFR3,8,0
FGFR4,4,13
FGFRL1,434,120
FGG,12,1
FGGY,122,117
FGL1,1,0
FGL2,1,0
FGR,0,3
FH,1143,1579
FHAD1,95,42
FHDC1,26,22
FHIT,188,265
FHL1,15,21
FHL2,628,365
FHL3,1126,948
FHL5,0,0
FHOD1,898,1152
FHOD3,295,339
FIBCD1,9,4
FIBIN,256,8
FIBP,668,904
FICD,95,3
FIG4,481,272
FIGF,2,1
FIGLA,0,0
FIGN,118,77
FIGNL1,395,49
FIGNL2,0,0
FILIP1,5,3
FILIP1L,2,1
FIP1L1,1580,1431
FIRRE,38,25
FIS1,675,1052
FITM1,2,1
FITM2,164,25
FIZ1,154,59
FJX1,902,30
FKBP10,3610,8638
FKBP11,1690,2743
FKBP14,1076,243
FKBP15,966,693
FKBP1A,4799,3311
FKBP1A-SDCBP2,0,0
FKBP1AP1,324,6
FKBP1B,5,16
FKBP2,568,664
FKBP3,2654,1418
FKBP4,5150,7541
FKBP5,10336,7996
FKBP6,1,0
FKBP7,669,369
FKBP8,2347,2244
FKBP9,1989,1156
FKBP9P1,185,28
FKBPL,1,2
FKRP,203,26
FKSG29,1,0
FKTN,1426,162
FLAD1,957,366
FLCN,755,1214
FLG,0,0
FLG-AS1,0,0
FLG2,0,0
FLI1,60,55
FLII,2872,3563
FLJ10038,66,8
FLJ12825,6,8
FLJ13224,1,0
FLJ16171,0,0
FLJ16779,0,0
FLJ20021,72,106
FLJ21408,1,4
FLJ22447,175,109
FLJ22763,0,0
FLJ23867,354,75
FLJ25758,1,0
FLJ26245,5,4
FLJ26850,2,0
FLJ27354,0,0
FLJ30679,0,0
FLJ31104,10,2
FLJ31356,15,1
FLJ31662,0,0
FLJ32255,0,1
FLJ33360,0,0
FLJ33534,0,0
FLJ33581,0,0
FLJ34503,0,1
FLJ35934,1,1
FLJ36000,20,8
FLJ36777,2,2
FLJ37035,4,0
FLJ37201,11,0
FLJ37453,59,9
FLJ37505,0,0
FLJ38122,0,0
FLJ38576,7,3
FLJ40194,0,0
FLJ40288,0,0
FLJ41200,1,0
FLJ41278,0,0
FLJ41941,1,0
FLJ42102,0,1
FLJ42351,19,12
FLJ42393,1,4
FLJ42627,66,6
FLJ42969,1,0
FLJ43315,2,0
FLJ43879,0,0
FLJ44635,10,6
FLJ45079,1,0
FLJ45513,1,2
FLJ46066,0,0
FLJ46284,2,0
FLJ46906,65,54
FLNA,32570,14073
FLNB,6652,2479
FLNC,18,9
FLOT1,19,368
FLOT2,3159,2384
FLRT1,48,12
FLRT2,577,51
FLRT3,23,6
FLT1,1,1
FLT3,0,0
FLT3LG,74,87
FLT4,0,0
FLVCR1,433,178
FLVCR1-AS1,47,20
FLVCR2,203,127
FLYWCH1,671,233
FLYWCH2,263,168
FMN1,14,14
FMN2,1301,849
FMNL1,1153,961
FMNL2,2839,2495
FMNL3,798,366
FMO1,0,0
FMO2,0,1
FMO3,1,3
FMO4,33,22
FMO5,13,1
FMO6P,0,0
FMO9P,0,0
FMOD,7,12
FMR1,1264,1031
FMR1-AS1,2,0
FMR1NB,1,0
FN1,29699,33836
FN3K,59,102
FN3KRP,1049,891
FNBP1,786,693
FNBP1L,171,81
FNBP4,2939,3170
FNDC1,0,0
FNDC3A,2971,1032
FNDC3B,2613,1289
FNDC4,11,5
FNDC5,2,0
FNDC7,2,0
FNDC8,57,36
FNDC9,0,0
FNIP1,1026,866
FNIP2,368,359
FNTA,2891,3352
FNTB,22,5
FOCAD,26,13
FOCAD-AS1,1,0
FOLH1,0,1
FOLH1B,0,0
FOLR1,4,1
FOLR2,0,0
FOLR3,10,3
FOPNL,1944,1038
FOS,1726,79
FOSB,259,13
FOSL1,1796,2583
FOSL2,3645,673
FOXA1,49,22
FOXA2,19,6
FOXA3,4,0
FOXB1,0,0
FOXB2,0,0
FOXC1,882,117
FOXC2,180,74
FOXC2-AS1,4,2
FOXCUT,29,5
FOXD1,441,76
FOXD2,86,4
FOXD2-AS1,319,28
FOXD3,2,2
FOXD3-AS1,16,15
FOXD4,12,3
FOXD4L1,13,3
FOXD4L3,0,0
FOXD4L4,0,0
FOXD4L5,0,0
FOXD4L6,0,0
FOXE1,0,0
FOXE3,2,2
FOXF1,81,15
FOXF2,596,165
FOXG1,0,0
FOXG1-AS1,32,19
FOXH1,4,0
FOXI1,0,0
FOXI2,0,0
FOXI3,0,0
FOXJ1,0,0
FOXJ2,1609,585
FOXJ3,2965,1973
FOXK1,2118,1686
FOXK2,2609,769
FOXL1,16,4
FOXL2,0,0
FOXL2NB,0,0
FOXM1,2703,1678
FOXN1,0,0
FOXN2,1445,661
FOXN3,3669,1069
FOXN3-AS1,18,2
FOXN3-AS2,0,0
FOXN4,0,0
FOXO1,3178,1005
FOXO3,2560,2193
FOXO3B,190,91
FOXO4,360,101
FOXO6,10,8
FOXP1,508,253
FOXP1-AS1,0,0
FOXP2,79,51
FOXP3,3,1
FOXP4,1024,248
FOXP4-AS1,37,44
FOXQ1,114,9
FOXR1,0,0
FOXR2,1,0
FOXRED1,444,250
FOXRED2,1319,692
FOXS1,1,0
FPGS,1274,871
FPGT,235,7
FPGT-TNNI3K,0,0
FPR1,8,31
FPR2,4,3
FPR3,1,0
FRA10AC1,679,417
FRAS1,40,14
FRAT1,38,1
FRAT2,154,45
FREM1,0,0
FREM2,0,0
FREM3,0,0
FRG1,626,754
FRG1B,381,117
FRG2,0,0
FRG2B,0,0
FRG2C,0,0
FRG2DP,0,0
FRG2EP,0,0
FRK,15,3
FRMD1,0,0
FRMD3,389,170
FRMD4A,833,619
FRMD4B,396,81
FRMD5,230,119
FRMD6,2820,1029
FRMD6-AS1,18,0
FRMD6-AS2,0,1
FRMD7,0,0
FRMD8,573,212
FRMD8P1,0,0
FRMPD1,0,0
FRMPD2,1,0
FRMPD2B,0,0
FRMPD3,0,0
FRMPD3-AS1,0,0
FRMPD4,1,1
FRRS1,41,18
FRRS1L,0,0
FRS2,1137,562
FRS3,90,64
FRY,67,51
FRY-AS1,0,0
FRYL,901,224
FRZB,3,16
FSBP,0,0
FSCB,0,0
FSCN1,2162,1870
FSCN2,0,5
FSCN3,0,1
FSD1,235,333
FSD1L,139,41
FSD2,29,5
FSHB,0,0
FSHR,0,0
FSIP1,50,17
FSIP2,10,2
FST,0,0
FSTL1,4759,1879
FSTL3,1640,472
FSTL4,5,1
FSTL5,1,0
FTCD,0,0
FTCDNL1,7,10
FTH1,122827,389542
FTH1P18,0,0
FTH1P3,84,50
FTHL17,1,0
FTL,117575,260111
FTLP10,0,0
FTMT,0,0
FTO,1676,1026
FTO-IT1,5,1
FTSJ1,1579,1136
FTSJ2,1211,727
FTSJ3,1279,910
FTX,62,30
FUBP1,2602,2891
FUBP3,2200,878
FUCA1,70,36
FUCA2,3317,3392
FUK,205,89
FUNDC1,290,239
FUNDC2,1730,3106
FUNDC2P2,22,3
FUOM,160,158
FURIN,1238,263
FUS,2771,1438
FUT1,339,7
FUT10,176,27
FUT11,91,41
FUT2,8,0
FUT3,1,16
FUT4,69,7
FUT5,0,0
FUT6,1,0
FUT7,1,0
FUT8,544,326
FUT8-AS1,2,0
FUT9,0,0
FUZ,149,68
FXN,468,222
FXR1,4117,8399
FXR2,824,433
FXYD1,0,3
FXYD2,0,0
FXYD3,0,3
FXYD4,0,0
FXYD5,1616,3181
FXYD6,0,0
FXYD6-FXYD2,0,0
FXYD7,0,0
FYB,1,0
FYCO1,1723,508
FYN,1285,291
FYTTD1,6385,3053
FZD1,164,18
FZD10,0,0
FZD10-AS1,0,0
FZD2,56,22
FZD3,925,265
FZD4,173,24
FZD5,146,29
FZD6,1182,143
FZD7,355,24
FZD8,26,1
FZD9,4,1
FZR1,572,310
G0S2,0,0
G2E3,1331,344
G3BP1,6997,2799
